ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
192	HVORNAAR, NAAR			DyenDB	192-200	A	192-201
193	HVOR			DyenDB	193-200	A	193-200
194	HVID			DyenDB	194-205	A	194-205
195	HVEM			DyenDB	195-200	A	195-200
196	BRED			DyenDB	196-200	A	196-202
197	KONE			DyenDB	197-200	A	197-200
198	VIND			DyenDB	198-200	A	198-202
199	VINGE			DyenDB	199-002	A	199-002
200	TORRE			DyenDB	200-008	A	200-008
201	MED			DyenDB	201-205	A	201-205
202	KVINDE			DyenDB	202-204	A	202-204
203	SKOV			DyenDB	203-002	A	203-002
204	ORM			DyenDB	204-203	A	204-205
205	I			DyenDB	205-200	A	205-200
206	AAR			DyenDB	206-004	A	206-004
207	GULT			DyenDB	207-200	A	207-200
